iter	RMSE
0	522.8773248
1	501.0941915
2	479.996255
3	460.2007153
4	441.6886776
5	423.84397
6	406.8416083
7	391.0322559
8	375.8087234
9	361.468558
10	347.7991386
11	335.1085141
12	323.3731249
13	311.9733183
14	301.5434397
15	291.9015403
16	282.8691262
17	274.0794789
18	265.8363981
19	258.1430606
20	251.0389754
21	244.0505657
22	237.5063475
23	231.5182876
24	225.9210108
25	220.6192911
26	215.9564975
27	211.3854636
28	207.1865123
29	203.4042259
30	199.5861153
31	196.1704685
32	193.0052434
33	189.9130144
34	187.0925679
35	184.4680299
36	182.0030975
37	179.8041993
38	177.6882111
39	175.71319
40	173.9168487
41	172.0096833
42	170.438462
43	168.5303281
44	167.1929036
45	165.7074074
46	164.6053442
47	163.3733001
48	162.0136366
49	160.9168512
50	159.7147543
51	158.8234862
52	157.9783238
53	157.1544015
54	156.2387588
55	155.2723557
56	154.6351775
57	153.821271
58	153.1611948
59	152.6055665
60	152.0398016
61	151.3126192
62	150.5783513
63	149.8617521
64	149.2248404
65	148.6355682
66	148.0633974
67	147.589408
68	147.1374902
69	146.6739334
70	146.3432307
71	146.0526573
72	145.5564227
73	145.2208832
74	144.6919611
75	144.4225058
76	144.2040433
77	143.9053937
78	143.5833566
79	143.2073957
80	142.9231315
81	142.6161451
82	142.3245509
83	141.8107485
84	141.5414601
85	141.2475365
86	141.1053103
87	140.7359134
88	140.4711088
89	140.1032971
90	139.6434646
91	139.1040928
92	138.6713821
93	138.3571616
94	138.1302527
95	137.7173427
96	137.5533552
97	137.3783953
98	136.8964733
99	136.6847223
100	136.5146356
101	136.0590837
102	135.5954736
103	135.3658699
104	135.1510314
105	134.8283287
106	134.482059
107	134.0917438
108	133.7402633
109	133.501356
110	133.3645384
111	132.9044014
112	132.6742478
113	132.5399637
114	132.1209039
115	131.8146898
116	131.4436327
117	131.0995859
118	130.8742755
119	130.6119899
120	130.3899838
121	130.2841999
122	130.147609
123	129.8910585
124	129.7517371
125	129.5357569
126	129.2128493
127	128.9789041
128	128.7486279
129	128.6390898
130	128.4681623
131	128.2350621
132	128.1033017
133	128.0265956
134	127.9308646
135	127.8294833
136	127.5766466
137	127.2637996
138	126.9489637
139	126.6397436
140	126.2696091
141	125.9423742
142	125.7435579
143	125.431905
144	125.122355
145	125.038202
146	124.7851408
147	124.6161471
148	124.441384
149	124.2188542
150	124.1610188
151	123.9181486
152	123.835871
153	123.6438545
154	123.4331269
155	123.2590328
156	123.1289716
157	122.9227114
158	122.8438958
159	122.7282688
160	122.6818853
161	122.505906
162	122.3689509
163	122.2672761
164	122.0778579
165	121.9304617
166	121.7904982
167	121.6051203
168	121.4363252
169	121.2450393
170	121.1196429
171	120.9261926
172	120.8771925
173	120.7037917
174	120.6106923
175	120.4005966
176	120.2378005
177	120.0514375
178	119.8981272
179	119.7977792
180	119.6665216
181	119.4131051
182	119.2835948
183	119.1053273
184	118.8566868
185	118.8053587
186	118.6307524
187	118.5029744
188	118.3413807
189	118.2613502
190	118.0869065
191	117.8716817
192	117.7385469
193	117.5609329
194	117.3362577
195	117.1105895
196	117.0713556
197	116.8530473
198	116.6933636
199	116.5521043
200	116.382092
201	116.2305438
202	116.0429281
203	115.9555646
204	115.7658753
205	115.6396572
206	115.4517687
207	115.2601175
208	115.1095363
209	114.977471
210	114.8527865
211	114.7282932
212	114.5878639
213	114.4367144
214	114.32863
215	114.1804685
216	113.9835786
217	113.8612459
218	113.709095
219	113.5594465
220	113.4188582
221	113.3502098
222	113.2051847
223	113.0676623
224	112.8615339
225	112.7829734
226	112.654125
227	112.6044584
228	112.4309964
229	112.3403322
230	112.1609034
231	112.0257749
232	111.9092469
233	111.8022487
234	111.6737753
235	111.5745813
236	111.5315432
237	111.474609
238	111.3408696
239	111.2111601
240	111.1658852
241	111.1121854
242	110.966957
243	110.9113114
244	110.7938851
245	110.6929054
246	110.5571583
247	110.4827092
248	110.3725752
249	110.2080363
250	110.0872941
251	110.0454508
252	109.9365551
253	109.8864731
254	109.8259165
255	109.7210907
256	109.6438175
257	109.6064837
258	109.4760576
259	109.4219317
260	109.3608648
261	109.2431663
262	109.1910889
263	109.1263347
264	109.0411344
265	108.989046
266	108.8109806
267	108.6676616
268	108.534704
269	108.5008142
270	108.4675001
271	108.3000296
272	108.1364368
273	108.0648652
274	107.9540735
275	107.8147991
276	107.7121474
277	107.6272935
278	107.5900949
279	107.5569488
280	107.4475298
281	107.3491366
282	107.2726368
283	107.0810112
284	106.9884482
285	106.9111058
286	106.8577818
287	106.8058016
288	106.7652784
289	106.7215282
290	106.5794924
291	106.4551971
292	106.322644
293	106.2640582
294	106.1574059
295	106.0608425
296	105.9302557
297	105.8318509
298	105.8024528
299	105.7179222
300	105.5887854
301	105.4934026
302	105.4031563
303	105.2999068
304	105.170303
305	105.1292555
306	105.0628281
307	104.9553974
308	104.8980759
309	104.8663897
310	104.7303939
311	104.7010549
312	104.6061281
313	104.472012
314	104.3541512
315	104.2768094
316	104.2352067
317	104.1284048
318	104.0236204
319	103.9763103
320	103.8678818
321	103.8360024
322	103.7505042
323	103.6450598
324	103.5476923
325	103.4751867
326	103.4449224
327	103.3417074
328	103.2790749
329	103.2096391
330	103.1664225
331	103.0694558
332	103.0421742
333	102.9442456
334	102.9009912
335	102.7585161
336	102.7093438
337	102.6629683
338	102.5921992
339	102.4765932
340	102.3791715
341	102.2515703
342	102.1791521
343	102.1444603
344	102.0632036
345	101.9682334
346	101.8927412
347	101.8439448
348	101.7432832
349	101.7101416
350	101.6630294
351	101.5582284
352	101.5283928
353	101.4499659
354	101.382517
355	101.3529901
356	101.3122694
357	101.2185856
358	101.1534886
359	101.1102902
360	101.0745607
361	100.986291
362	100.9465672
363	100.9145172
364	100.8579202
365	100.7675418
366	100.6654066
367	100.578354
368	100.5532709
369	100.5267624
370	100.4908616
371	100.4613202
372	100.372112
373	100.3129178
374	100.2410335
375	100.2115962
376	100.0586788
377	99.92329918
378	99.89886127
379	99.81067522
380	99.77986704
381	99.67908187
382	99.59739641
383	99.56813386
384	99.49270351
385	99.47135958
386	99.41352381
387	99.36277879
388	99.3405723
389	99.26215042
390	99.19690109
391	99.12805111
392	99.04660223
393	99.00571667
394	98.94830527
395	98.83647051
396	98.76138503
397	98.73743896
398	98.6507105
399	98.60537065
400	98.57005447
401	98.48074805
402	98.41689955
403	98.34494564
404	98.31341228
405	98.24727516
406	98.14819226
407	98.12191895
408	98.03858581
409	97.95531901
410	97.8179833
411	97.75420255
412	97.68771205
413	97.55490327
414	97.49334849
415	97.46970878
416	97.38998781
417	97.31550029
418	97.28003147
419	97.23576204
420	97.15390755
421	97.12624536
422	97.09327958
423	97.03779994
424	96.97759003
425	96.90509882
426	96.85023254
427	96.79142883
428	96.71864729
429	96.65705488
430	96.62911652
431	96.60638945
432	96.58635512
433	96.54873109
434	96.49616268
435	96.44233993
436	96.41933105
437	96.35965015
438	96.30347647
439	96.20068529
440	96.15166516
441	96.08030387
442	96.02915484
443	95.97346132
444	95.88825619
445	95.82110672
446	95.74637182
447	95.70134552
448	95.65399721
449	95.61189966
450	95.53890616
451	95.4618715
452	95.37164826
453	95.30206499
454	95.22999976
455	95.16251124
456	95.08363935
457	95.04918668
458	95.00710746
459	94.8947333
460	94.82937784
461	94.78600811
462	94.71757904
463	94.69318584
464	94.6560961
465	94.57060437
466	94.5177633
467	94.42418267
468	94.3418126
469	94.29008018
470	94.23668676
471	94.20408989
472	94.14732854
473	94.09993839
474	94.08024373
475	94.06112693
476	94.02480588
477	93.97211583
478	93.92594367
479	93.90623389
480	93.85794948
481	93.80532686
482	93.76648722
483	93.73204243
484	93.70444204
485	93.65090832
486	93.57007107
487	93.51986617
488	93.50620171
489	93.40358144
490	93.34340449
491	93.33142202
492	93.25268925
493	93.20743564
494	93.17132043
495	93.10217205
496	93.05472128
497	93.00980706
498	92.94226546
499	92.90870161
500	92.82470572
501	92.78294819
502	92.74159975
503	92.68349355
504	92.63977121
505	92.57692891
506	92.51938256
507	92.47305969
508	92.41306566
509	92.38431292
510	92.33301725
511	92.27039416
512	92.22822718
