iter	Passed	Remaining
0	7	7052
1	12	5993
2	19	6623
3	27	6804
4	32	6370
5	36	6070
6	41	5947
7	46	5747
8	50	5583
9	55	5459
10	59	5351
11	66	5512
12	74	5683
13	81	5733
14	86	5695
15	96	5941
16	106	6168
17	121	6611
18	126	6544
19	131	6428
20	135	6324
21	140	6256
22	145	6173
23	149	6095
24	154	6020
25	160	6018
26	167	6054
27	190	6628
28	200	6723
29	235	7613
30	244	7653
31	256	7764
32	267	7823
33	277	7884
34	287	7938
35	299	8020
36	334	8702
37	343	8705
38	351	8657
39	380	9134
40	399	9333
41	430	9817
42	443	9865
43	448	9750
44	470	9988
45	480	9972
46	490	9954
47	509	10095
48	520	10108
49	526	10005
50	533	9930
51	544	9927
52	554	9899
53	566	9921
54	573	9853
55	577	9740
56	582	9635
57	586	9529
58	591	9427
59	595	9328
60	615	9469
61	622	9420
62	629	9365
63	637	9321
64	664	9563
65	669	9477
66	675	9408
67	684	9382
68	690	9317
69	704	9357
70	722	9450
71	729	9407
72	736	9353
73	754	9444
74	764	9430
75	773	9400
76	781	9364
77	788	9321
78	810	9445
79	814	9364
80	818	9286
81	823	9214
82	827	9142
83	832	9073
84	836	9006
85	856	9101
86	863	9060
87	873	9050
88	882	9030
89	886	8967
90	897	8961
91	911	8995
92	920	8976
93	927	8940
94	932	8881
95	953	8976
96	957	8911
97	961	8852
98	966	8792
99	970	8734
100	974	8675
101	979	8622
102	984	8569
103	995	8574
104	1000	8531
105	1005	8479
106	1009	8426
107	1014	8378
108	1019	8333
109	1023	8281
110	1027	8231
111	1038	8237
112	1047	8219
113	1051	8171
114	1059	8150
115	1069	8148
116	1081	8158
117	1090	8148
118	1095	8113
119	1101	8079
120	1111	8073
121	1120	8066
122	1133	8080
123	1138	8044
124	1143	8002
125	1147	7961
126	1153	7931
127	1158	7889
128	1162	7849
129	1166	7809
130	1171	7768
131	1175	7730
132	1180	7693
133	1184	7654
134	1188	7616
135	1193	7581
136	1197	7545
137	1202	7510
138	1206	7475
139	1211	7440
140	1215	7405
141	1220	7371
142	1226	7350
143	1233	7333
144	1239	7309
145	1244	7277
146	1248	7245
147	1253	7217
148	1264	7221
149	1276	7233
150	1291	7258
151	1296	7235
152	1301	7202
153	1306	7178
154	1316	7176
155	1326	7178
156	1334	7167
157	1339	7137
158	1343	7108
159	1348	7077
160	1352	7047
161	1356	7017
162	1360	6986
163	1364	6956
164	1371	6940
165	1376	6917
166	1382	6896
167	1387	6869
168	1391	6842
169	1395	6814
170	1400	6787
171	1404	6759
172	1408	6732
173	1412	6707
174	1420	6697
175	1427	6685
176	1433	6664
177	1437	6639
178	1441	6613
179	1446	6588
180	1455	6586
181	1467	6596
182	1474	6582
183	1480	6565
184	1485	6542
185	1489	6517
186	1494	6496
187	1498	6472
188	1510	6482
189	1524	6497
190	1529	6479
191	1535	6463
192	1540	6439
193	1544	6416
194	1549	6395
195	1553	6373
196	1558	6350
197	1570	6362
198	1576	6345
199	1581	6324
200	1585	6300
201	1589	6277
202	1593	6255
203	1597	6233
204	1602	6213
205	1606	6191
206	1612	6177
207	1617	6157
208	1621	6138
209	1626	6119
210	1631	6100
211	1635	6080
212	1640	6059
213	1644	6040
214	1649	6021
215	1658	6018
216	1667	6016
217	1676	6013
218	1681	5994
219	1685	5976
220	1690	5957
221	1697	5949
222	1709	5957
223	1724	5972
224	1733	5972
225	1738	5952
226	1742	5933
227	1747	5915
228	1755	5909
229	1765	5912
230	1770	5895
231	1775	5877
232	1780	5859
233	1784	5841
234	1788	5823
235	1793	5805
236	1797	5788
237	1805	5779
238	1812	5770
239	1817	5756
