iter	MAPE	RMSE
0	1.683411712	8857.265944
1	1.501481245	8072.39125
2	1.340754098	7378.405386
3	1.201180245	6780.261104
4	1.084362735	6288.575864
5	0.9796668317	5858.441406
6	0.8901116841	5472.716974
7	0.8088458208	5159.248242
8	0.7415883229	4882.852178
9	0.6832412041	4672.347636
10	0.6314081426	4474.028881
11	0.5848722633	4313.704257
12	0.545324689	4177.448207
13	0.5105902599	4058.493913
14	0.4783692725	3955.906756
15	0.4512978267	3854.513779
16	0.4274229715	3772.418349
17	0.409515627	3698.463139
18	0.3910811953	3631.661745
19	0.3756744502	3579.96521
20	0.3617359934	3540.075675
21	0.3496532999	3496.858422
22	0.3382904196	3468.035263
23	0.3282648037	3433.833757
24	0.3195216292	3402.060871
25	0.3123283117	3342.128998
26	0.3068614018	3323.3091
27	0.3003325162	3304.407243
28	0.2959386894	3287.681603
29	0.2920760367	3274.521936
30	0.2868177413	3253.747374
31	0.2832192776	3230.189256
32	0.2796098063	3223.317111
33	0.2772397608	3211.815341
34	0.2754599503	3194.633905
35	0.2734590676	3184.233991
36	0.2709886971	3173.396714
37	0.2688433266	3164.767623
38	0.2679125798	3148.436184
39	0.2669493586	3137.98235
40	0.2647016584	3123.169505
41	0.2631675783	3107.969262
42	0.2619597689	3099.724626
43	0.2597143892	3066.859087
44	0.2598786658	3059.16651
45	0.2582211907	3034.796897
46	0.2556779864	3021.967096
47	0.2549889583	3009.29728
48	0.2531168044	2995.957013
49	0.2514999311	2991.97821
50	0.2504602098	2987.761799
51	0.2497870601	2984.360706
52	0.2491335285	2979.570256
53	0.2485738389	2959.325129
54	0.2482488762	2956.065627
55	0.2482402623	2941.690703
56	0.2467364381	2935.267932
57	0.2456567309	2931.003778
58	0.2454262046	2928.888952
59	0.2449267465	2924.611054
60	0.2433414827	2918.559231
61	0.2427803547	2913.819164
62	0.2425667125	2912.50817
63	0.2419446956	2903.704129
64	0.2420269496	2897.663335
65	0.2410924224	2876.252299
66	0.2406878859	2873.52004
67	0.2400842046	2860.482367
68	0.2397983733	2857.674151
69	0.2394518121	2853.760212
70	0.2393807698	2852.810323
71	0.2387968989	2846.034228
72	0.2389180284	2841.644067
73	0.2385984881	2838.922135
74	0.2385309788	2836.298821
75	0.2388248585	2819.543933
76	0.2387838509	2816.295571
77	0.2385127244	2814.826237
78	0.2381618229	2812.926143
79	0.2375990661	2804.077412
80	0.2370122964	2795.179734
81	0.2366937935	2793.364308
82	0.236662483	2788.426582
83	0.2366234778	2786.959865
84	0.2361419806	2766.567142
85	0.2360644551	2764.492065
86	0.2359486811	2758.748222
87	0.2356910833	2755.411627
88	0.2353899754	2744.534674
89	0.2350365694	2742.508557
90	0.2348773202	2737.726527
91	0.234566979	2728.205255
92	0.2344367206	2717.666185
93	0.2337172391	2708.06312
94	0.2332912623	2703.13046
95	0.2331368733	2700.272047
96	0.2323731937	2695.859571
97	0.2322386223	2692.038311
98	0.231879228	2685.031461
99	0.2322043462	2684.300676
100	0.2319053973	2675.341198
101	0.2316264222	2668.279196
102	0.2315763661	2665.097956
103	0.2314019633	2663.483745
104	0.2312817151	2660.70761
105	0.2312656982	2657.12031
