iter	Passed	Remaining
0	449	449342
1	719	359140
2	939	312158
3	1194	297462
4	1410	280742
5	1641	272017
6	1895	268883
7	2097	260073
8	2301	253418
9	2505	248079
10	2709	243651
11	2913	239901
12	3111	236248
13	3304	232717
14	3499	229810
15	3683	226550
16	3879	224319
17	4073	222250
18	4258	219851
19	4437	217444
20	4624	215582
21	4804	213570
22	4975	211371
23	5142	209132
24	5301	206766
25	5475	205135
26	5647	203511
27	5815	201890
28	5986	200442
29	6151	198908
30	6327	197801
31	6486	196231
32	6632	194354
33	6786	192829
34	6953	191729
35	7127	190860
36	7281	189517
37	7430	188115
38	7566	186446
39	7712	185092
40	7859	183843
41	8011	182745
42	8150	181385
43	8319	180761
44	8452	179380
45	8617	178722
46	8776	177948
47	8919	176893
48	9063	175906
49	9215	175098
50	9362	174207
51	9502	173234
52	9638	172217
53	9764	171053
54	9888	169904
55	10059	169576
56	10224	169148
57	10343	167993
58	10493	167368
59	10613	166283
60	10780	165948
61	10924	165273
62	11040	164198
63	11193	163704
64	11357	163375
65	11550	163460
66	11714	163122
67	11861	162574
68	12029	162306
69	12167	161655
70	12286	160766
71	12415	160018
72	12573	159665
73	12719	159165
74	12840	158363
75	12991	157945
76	13131	157408
77	13251	156636
78	13386	156065
79	13541	155722
80	13681	155226
81	13813	154642
82	13949	154121
83	14060	153324
84	14231	153198
85	14358	152606
86	14516	152336
87	14630	151628
88	14789	151387
89	14928	150939
90	15075	150588
91	15220	150216
92	15349	149700
93	15510	149491
94	15674	149316
95	15817	148950
96	15990	148858
97	16141	148570
98	16309	148433
99	16432	147888
100	16574	147529
101	16712	147137
102	16861	146842
103	16995	146426
104	17142	146122
105	17323	146103
106	17472	145825
107	17622	145549
108	17805	145543
109	17991	145566
110	18176	145573
111	18349	145484
112	18545	145572
113	18687	145241
114	18845	145029
115	19032	145041
116	19234	145163
117	19456	145432
118	19610	145180
119	19790	145129
120	19976	145115
121	20189	145300
122	20379	145310
123	20598	145515
124	20749	145243
125	20896	144947
126	21027	144540
127	21182	144306
128	21329	144013
129	21445	143523
130	21584	143185
131	21728	142879
132	21847	142422
133	21966	141964
134	22125	141764
135	22257	141401
136	22392	141057
137	22550	140860
138	22691	140557
139	22806	140099
140	22939	139753
141	23068	139384
142	23204	139062
143	23325	138658
144	23453	138294
145	23587	137970
146	23719	137638
147	23868	137406
148	23995	137049
149	24136	136775
150	24272	136473
151	24402	136138
152	24548	135897
153	24698	135682
154	24842	135433
155	24959	135034
156	25089	134716
157	25206	134329
158	25366	134171
159	25495	133853
160	25652	133677
161	25800	133461
162	25936	133181
163	26125	133178
164	26273	132960
165	26440	132837
166	26559	132477
167	26723	132346
168	26854	132048
169	26999	131820
170	27148	131614
171	27287	131361
172	27405	131008
173	27523	130658
174	27663	130413
175	27810	130204
176	27977	130088
177	28109	129811
178	28241	129534
179	28386	129318
180	28508	128996
181	28646	128749
182	28791	128539
183	28959	128426
184	29079	128108
185	29258	128044
186	29390	127778
187	29520	127502
188	29640	127189
189	29784	126974
190	29911	126692
191	30044	126437
192	30189	126230
193	30314	125945
194	30464	125762
195	30612	125574
196	30730	125260
197	30882	125091
198	31009	124815
199	31141	124567
200	31266	124287
201	31382	123975
202	31513	123724
203	31689	123652
204	31875	123614
205	32071	123614
206	32257	123577
207	32390	123332
208	32556	123217
209	32724	123105
210	32853	122849
211	32980	122587
212	33171	122561
213	33328	122412
214	33470	122205
215	33601	121961
216	33709	121632
217	33825	121336
218	33976	121167
219	34087	120855
220	34190	120518
221	34336	120333
222	34458	120062
223	34600	119866
224	34720	119593
225	34851	119359
226	35029	119285
227	35153	119027
228	35290	118815
229	35433	118625
230	35601	118517
231	35781	118447
232	35904	118190
233	36061	118048
234	36213	117886
235	36338	117639
236	36498	117504
237	36651	117347
238	36825	117254
239	36955	117024
240	37069	116746
241	37207	116542
242	37413	116550
243	37597	116490
244	37761	116367
245	37983	116419
246	38173	116375
247	38350	116289
248	38569	116327
249	38810	116430
250	38979	116316
251	39208	116380
252	39405	116348
253	39606	116324
254	39807	116301
255	40024	116322
256	40209	116249
257	40394	116174
258	40576	116088
259	40745	115968
260	40916	115850
261	41061	115662
262	41210	115483
263	41387	115384
264	41541	115217
265	41703	115076
266	41866	114936
267	42060	114881
268	42249	114811
269	42416	114682
270	42590	114569
271	42773	114482
272	42941	114353
273	43095	114188
274	43350	114286
275	43538	114210
276	43671	113987
277	43833	113842
278	44048	113831
279	44251	113790
280	44440	113709
281	44605	113569
282	44828	113577
283	44991	113428
284	45150	113271
285	45357	113235
286	45527	113105
287	45721	113034
288	45923	112982
289	46167	113029
290	46354	112939
291	46547	112862
292	46740	112783
293	46964	112779
294	47174	112739
295	47377	112680
296	47520	112481
297	47677	112313
298	47815	112103
299	47955	111896
300	48158	111836
301	48315	111668
302	48479	111518
303	48666	111420
304	48789	111175
305	48960	111042
306	49113	110865
307	49279	110718
308	49423	110522
309	49568	110330
310	49715	110140
311	49854	109935
312	50014	109776
313	50167	109601
314	50308	109401
315	50454	109211
316	50641	109110
317	50779	108905
318	50939	108744
319	51080	108545
320	51256	108421
321	51416	108261
322	51589	108130
323	51737	107945
324	51921	107836
325	52091	107698
326	52230	107496
327	52410	107377
328	52529	107135
329	52736	107071
330	52927	106973
331	53129	106898
332	53270	106700
333	53472	106624
334	53668	106535
335	53941	106598
336	54099	106432
337	54236	106225
338	54395	106062
339	54575	105940
340	54724	105758
341	54908	105642
342	55080	105503
343	55265	105390
344	55518	105404
345	55694	105271
346	55888	105173
347	56074	105059
348	56200	104832
349	56380	104706
350	56540	104542
351	56679	104342
352	56816	104137
353	56978	103978
354	57107	103759
355	57247	103559
356	57423	103426
357	57553	103210
358	57751	103115
359	57886	102909
360	58020	102701
361	58189	102554
362	58382	102451
363	58695	102555
364	58931	102525
365	59091	102360
366	59231	102161
367	59464	102123
368	59712	102109
369	59933	102048
370	60149	101978
371	60399	101965
372	60585	101841
373	60781	101736
374	61000	101667
375	61225	101609
376	61490	101613
377	61696	101521
378	62056	101680
379	62228	101531
380	62407	101391
381	62620	101307
382	62849	101248
383	63108	101237
384	63385	101251
385	63527	101051
386	63658	100833
387	63817	100660
388	64017	100552
389	64185	100392
390	64363	100248
391	64545	100111
392	64696	99924
393	64869	99773
394	65081	99681
395	65314	99621
396	65485	99465
397	65665	99322
398	65955	99346
399	66189	99284
400	66411	99203
401	66633	99121
402	66901	99107
403	67150	99064
404	67478	99135
405	67716	99072
406	67926	98968
407	68122	98844
408	68301	98694
409	68468	98527
410	68718	98480
411	68951	98407
412	69199	98353
413	69433	98280
414	69612	98129
415	69847	98055
416	70012	97882
417	70236	97793
418	70444	97680
419	70654	97570
420	70826	97407
421	70957	97188
422	71177	97090
423	71320	96888
424	71525	96769
425	71756	96685
426	71931	96525
427	72094	96350
428	72290	96219
429	72425	96005
430	72607	95855
431	72755	95659
432	72952	95529
433	73147	95394
434	73308	95216
435	73510	95091
436	73752	95017
437	73958	94896
438	74203	94824
439	74429	94728
440	74707	94697
441	74891	94546
442	75110	94439
443	75244	94224
444	75412	94053
445	75575	93876
446	75793	93766
447	75961	93595
448	76189	93497
449	76406	93386
450	76580	93220
451	76791	93100
452	76965	92936
453	77098	92721
454	77273	92557
455	77384	92318
456	77569	92166
457	77821	92094
458	77974	91904
459	78177	91773
460	78377	91639
461	78516	91433
462	78683	91259
463	78855	91091
464	79024	90920
465	79180	90734
466	79343	90556
467	79545	90423
468	79700	90236
469	79967	90176
470	80213	90091
471	80374	89910
472	80532	89726
473	80741	89598
474	81051	89583
475	81188	89375
476	81350	89195
477	81563	89071
478	81784	88955
479	82001	88835
480	82163	88654
481	82309	88457
482	82485	88291
483	82616	88079
484	82754	87873
485	82910	87687
486	83077	87512
487	83226	87319
488	83360	87110
489	83542	86952
490	83736	86806
491	83964	86694
492	84159	86549
493	84397	86447
494	84559	86267
495	84765	86132
496	84899	85924
497	85121	85805
498	85294	85636
499	85681	85681
500	85943	85600
501	86308	85621
502	86560	85527
503	86801	85423
504	86986	85263
505	87249	85180
506	87463	85048
507	87858	85090
508	88039	84926
509	88331	84867
510	88614	84799
511	88920	84752
512	89266	84742
513	89564	84685
514	89791	84560
515	89986	84405
516	90221	84288
517	90426	84141
518	90609	83975
519	90835	83847
520	91062	83721
521	91333	83635
522	91548	83496
523	91745	83341
524	91964	83206
525	92141	83032
526	92330	82869
527	92487	82677
528	92646	82489
529	92791	82287
530	93000	82141
531	93149	81943
532	93322	81766
533	93482	81578
534	93648	81395
535	93770	81174
536	93886	80948
537	94003	80724
538	94148	80524
539	94257	80293
540	94398	80089
541	94546	79893
542	94646	79656
543	94773	79442
544	94897	79225
545	95021	79010
546	95152	78800
547	95290	78597
548	95435	78399
549	95608	78225
550	95751	78025
551	95958	77879
552	96245	77797
553	96383	77594
554	96545	77410
555	96762	77270
556	97032	77173
557	97201	76994
558	97332	76786
559	97497	76605
560	97614	76386
561	97823	76239
562	97948	76027
563	98121	75852
564	98303	75685
565	98454	75493
566	98592	75291
567	98757	75111
568	98904	74916
569	99034	74710
570	99145	74489
571	99273	74281
572	99477	74130
573	99619	73933
574	99723	73708
575	99877	73520
576	99984	73298
577	100145	73116
578	100337	72957
579	100526	72794
580	100723	72639
581	100864	72442
582	101029	72262
583	101129	72037
584	101262	71835
585	101420	71651
586	101551	71449
587	101710	71266
588	101835	71060
589	101977	70865
590	102102	70659
591	102224	70451
592	102375	70264
593	102500	70059
594	102609	69843
595	102715	69626
596	102825	69411
597	102968	69219
598	103087	69011
599	103216	68811
600	103354	68616
601	103468	68406
602	103670	68254
603	103792	68049
604	103918	67847
605	104098	67681
606	104215	67474
607	104333	67267
608	104543	67120
609	104748	66970
610	104851	66755
611	105017	66579
612	105126	66368
613	105272	66181
