vin,sellingprice
1g6dp567450124779,216.51626449770976
1gtw7fca7e1902207,798.612669185591
jn8az1mw6dw303497,475.2883724840243
2g1wf5e34d1160703,442.1460079013528
1n6aa0ec3dn301209,620.3201515176532
wvwvd63b93e175638,114.5266988637859
5npeb4ac4dh809686,584.3335449828567
1fm5k7b97dgb16454,391.8153058857233
jn1cv6ar5bm411441,563.3173521464124
3gnfc16j77g158033,96.34805631932579
2g1wb5e30d1140332,555.2030110406314
jf2sjadc1fh417932,411.1618737213778
1fmcu0f75eue15137,231.9765058685459
jn8az18w29w128991,286.0962274505759
3fadp4ejxcm158293,359.2605298939251
1fahp2e96dg230937,537.934623065895
knaft4a24b5326931,334.01143242237094
wbaeb5c57ac225968,660.8358580153094
1gndt13sx62216518,123.49821259312284
3gcukrec4eg454516,987.1515509277704
kmhgc4ddxcu168540,456.15370432057676
2gnfleek4c6221421,334.56097543697234
3gnda23d06s523147,150.61818540132987
ja32u1fu0du008397,584.9403790815162
1fbne3bl1eda46070,497.50168753539856
2b8gp54l01r117477,92.1056006470522
1fadp3f28el323070,536.2727579407906
1g3nl52f32c104253,150.42223461759312
yv4992dz6a2034805,227.79660461434315
1gmdv33l15d274975,221.74694500531234
3fahp0ha5cr314457,620.5600395654066
kndjp3a5xe7072298,766.5805937499805
jh4cu2f49cc003441,641.6077806351276
1g2zm177284122405,206.43370535954455
1hgcp2f38ba122870,607.6265302513066
1n4aa5ap0bc847988,501.2487652840776
jt2bf28kx10337262,140.80393195864394
2gtek13v961325160,170.40166854861872
1n4aa5ap7ac811245,446.6629625607109
1fadp3k25el151313,442.19263439840154
4t1bf1fk9eu774829,534.1968968877717
waugfafc2en098654,694.3047172798273
3fa6p0hr2dr238002,620.0804009176852
3fahp0ja5cr276738,535.5834356040053
2g1fa1e30d9157807,544.8171574514802
2t3bfrev4dw038526,437.2667110096163
5yfbu4ee8dp189095,374.4056090689743
yv1sz59h741164165,147.57769364713351
1hgcr2f84da020569,558.586791379563
1c4njcba3fd124498,438.4780977644218
1n4aa51e09c834554,236.55831998150737
1fmfu17525la35873,169.65302769426364
3vw2k7aj6dm209150,580.571600190861
5j6rm3h7xdl004568,536.5886970425365
waufgafb8an026867,419.312887897084
3fahp0ha0cr307061,680.9820426278134
1lnhm87a82y644589,78.1568292409695
2hkrl18022h576543,78.10212766652785
2t1burhe2ec210372,591.5462753044903
nm0ge9f77e1151554,752.8912055298722
5xxgr4a66dg133932,478.47026069530716
5j6re48348l033196,259.6466527231871
1gnlvfed5aj252374,267.3591871549817
1ftfw1e69dfd71401,509.3710620824976
kmhdh4ae8du795370,390.3850699287456
1n4al2ap3cn408119,430.98085847595144
waugn74f37n041255,350.3735599383471
5xykt3a63eg479116,458.27653259481644
4t1bf3ek2au532729,340.63693897042583
knafx4a62e5225883,593.3217651634676
jnkcv51e63m329092,193.47891815172727
jn1by1ar2cm394735,499.74331916366043
1j4fa59s0yp723644,191.65178127942062
1fahp3f28cl166154,385.11590897338175
jtebu4bf2bk113263,463.4787059716762
2c4rc1gg7er180355,583.6527148727913
2hges16374h588764,99.8717808390615
wddgf81x78f169485,468.5603569614621
2c4rdgcg3er388917,586.5335138422773
1n4al2ap5cn424564,445.0739054457604
1ftfw1et8cfb48321,368.68013779679507
3fa6p0h71er259567,789.6940873147457
1c3cdzab7dn610562,425.0515662635319
1c6rd7ft7cs204333,520.6400779247326
5npeb4ac3ch290449,560.5092671695189
1ftfw1ef3bfc35956,373.5917739958172
jf1znaa10d1719373,587.7122985176202
2c4rdgegxer431226,617.61707225757
1n4al3ap9ec105740,533.650162088241
wbxpa73464wc36440,217.31280406257224
yv440mdb2f2610299,547.0966326196803
2c3ccakt9eh306087,731.9864477815044
2d4fv47tx6h156976,113.60314194750532
1fbss3bl5edb01101,589.4192789663675
1ftww31p86ec33609,166.44608923487465
1g6dw677x50225462,221.81657887035803
1ftfw1r69dfb74948,460.30602569369256
1fahp2e82eg107578,660.6983336490505
jn1cv6ek3cm422386,620.5096240098658
3fa6p0h7xdr271747,645.0803039258905
1g6dw677550216409,260.35742124025194
2gkaluek7c6276284,467.94214932589716
4t4be46k09r098027,220.4663464909282
1ft8w3dt0deb21420,559.0163703495535
knafe122845051705,172.07218158209326
1g1pe5sb9e7114453,540.2300277305416
3c4pddbg6ct222361,464.0336648412114
km8jn72d05u127017,130.23047522604554
5tfhw5f13cx249936,697.6380401171377
1g1pc5sb7d7144958,298.08597202312365
1gnwkmeg6br194783,315.16344191919154
1g1zd5eb9af288546,323.30457097060525
1j4gw48s44c336467,120.97739477152265
2melm74w1vx603619,6.515261841807387
knafx4a67e5127187,577.2075722381194
2t1br32e14c264462,190.99291811507157
1g1zd5eu9bf201988,370.9242666023308
kndup131046562894,266.88034194841737
2g1wf5ek1b1281581,302.6787289437567
2t2gk31u77c011844,247.0120790658433
1ftnf1cf8ekd17420,522.4264879571023
waulc68e63a233402,112.79702506706934
jthgl46f875015124,281.9980971453216
5j6rm3h53cl025176,549.1211854863157
1fahp3fnxbw188972,399.08989187280395
wbabd33424jy97817,201.1208919419936
5uxfe83529l170811,418.95452503647795
jtdktud32ed584445,627.604456325568
1g8aj55f77z187488,186.82625774600467
2c4rdgcg0cr204451,401.4988203543521
1n4aa5apxec438000,585.107339768378
19uua9f55ca002462,627.3067929577919
1ftne24w67da44976,105.09451672943868
jn1cv6el0am150112,388.7399853196067
1fahp3n26cl476501,300.9599077074337
jn8af5mv5dt210835,637.6847614124101
1gnsckkc8fr205029,557.4493578741597
wddgf56x08f039121,308.9244328057826
3n1cn7ap6dl876005,580.3146293248118
1n4aa5ap3cc815652,372.5070078808362
3fadp4ej1dm227597,568.8740411320764
2t3bf4dv7bw172688,399.95106069539764
1g11h5sa9df251711,521.2778696723291
3lnhl2jc4ar615582,431.054111173378
4t1bf32k33u562748,116.74733599677916
1d7hu18d75s323919,126.70978754132028
1b3cc4fb9an189063,456.14899622481636
1gndt13s662358557,112.92112214246316
wddgf4hb5cr239429,536.9033957680026
km8jt3ab7cu401390,335.3522424872074
1gkev23768j263857,265.08078386806505
jthbf5c24c5176380,656.6705246100794
1hgcg165x2a027836,115.64503448932936
kmhd35le6du156678,657.7817942983608
wbavm1c51dvw41350,705.381584920919
1c4rjeag7ec144910,483.0247356430007
2d4rn4de8ar496990,297.91965542820645
4t1bf1fk7cu098636,386.4511827958451
wauaf78e26a046795,102.766638995591
1gkdt13s122106237,71.59577264741631
1n4ba41e66c829787,223.41456676491185
4t3zk3bb8au024609,434.0823589939122
1fm5k8d83dgb86317,372.2869548957962
1n6ad0ev4ac404087,382.6519398546787
2c3ccabg4eh261658,665.1055253486254
1fafp552x3a196871,58.53873017146509
1gnscbkcxfr160773,540.3810870971533
kmhct5ae1du137471,549.2982321808247
2hges16543h601504,126.2666274039097
