vin,sellingprice
1g6dp567450124779,4179.613153856535
1gtw7fca7e1902207,20496.42745555004
jn8az1mw6dw303497,18036.489195241396
2g1wf5e34d1160703,9471.278897497557
1n6aa0ec3dn301209,22116.418131773666
wvwvd63b93e175638,2876.0551555961792
5npeb4ac4dh809686,12675.42441955711
1fm5k7b97dgb16454,14443.282498970988
jn1cv6ar5bm411441,16964.927660005575
3gnfc16j77g158033,9792.864717948256
2g1wb5e30d1140332,13941.840090617916
jf2sjadc1fh417932,23237.477729359845
1fmcu0f75eue15137,7550.977134661082
jn8az18w29w128991,12516.270106142345
3fadp4ejxcm158293,6035.995355897227
1fahp2e96dg230937,16137.863578852948
knaft4a24b5326931,6382.9378001483165
wbaeb5c57ac225968,36094.121705395184
1gndt13sx62216518,5305.772175087068
3gcukrec4eg454516,27990.49052366052
kmhgc4ddxcu168540,16382.020819511556
2gnfleek4c6221421,13565.982480590685
3gnda23d06s523147,5344.4043859307385
ja32u1fu0du008397,9101.413664485117
1fbne3bl1eda46070,20095.501104473853
2b8gp54l01r117477,682.4683467679642
1fadp3f28el323070,12661.78037618299
1g3nl52f32c104253,1362.0723595732907
yv4992dz6a2034805,12119.947539953977
1gmdv33l15d274975,3860.122342267672
3fahp0ha5cr314457,11255.420246690444
kndjp3a5xe7072298,14099.98683797994
jh4cu2f49cc003441,17800.590608443097
1g2zm177284122405,7319.744223221428
1hgcp2f38ba122870,11954.102652255164
1n4aa5ap0bc847988,16685.062460894005
jt2bf28kx10337262,3504.435995823218
2gtek13v961325160,9366.669824731645
1n4aa5ap7ac811245,15560.569513918988
1fadp3k25el151313,12383.046806352631
4t1bf1fk9eu774829,15182.03875543565
waugfafc2en098654,35163.20348540942
3fa6p0hr2dr238002,11602.49463438572
3fahp0ja5cr276738,9231.151882265605
2g1fa1e30d9157807,15378.147044479241
2t3bfrev4dw038526,17848.201234416825
5yfbu4ee8dp189095,11644.868620610483
yv1sz59h741164165,4148.477778133671
1hgcr2f84da020569,16616.997285610792
1c4njcba3fd124498,16800.76337464681
1n4aa51e09c834554,8023.293684308343
1fmfu17525la35873,6152.791281704732
3vw2k7aj6dm209150,9562.225398120003
5j6rm3h7xdl004568,20632.432786223664
waufgafb8an026867,17876.528068398038
3fahp0ha0cr307061,12881.34052807163
1lnhm87a82y644589,285.7500321450625
2hkrl18022h576543,1559.4608810652117
2t1burhe2ec210372,14088.297243864658
nm0ge9f77e1151554,22688.10339296649
