vin,sellingprice
1g6dp567450124779,4450.70826746437
1gtw7fca7e1902207,22380.878593847163
jn8az1mw6dw303497,20552.47549680922
2g1wf5e34d1160703,8931.776495981589
1n6aa0ec3dn301209,23247.895491667623
wvwvd63b93e175638,2732.964394531922
5npeb4ac4dh809686,12373.688613937646
1fm5k7b97dgb16454,15591.912307573186
jn1cv6ar5bm411441,17572.04750380399
3gnfc16j77g158033,9448.1025002478
2g1wb5e30d1140332,14082.804720502221
jf2sjadc1fh417932,23053.64794522726
1fmcu0f75eue15137,6152.948822182576
jn8az18w29w128991,14629.080829801087
3fadp4ejxcm158293,5093.6720360436375
1fahp2e96dg230937,16658.09730321951
knaft4a24b5326931,7114.956065223715
wbaeb5c57ac225968,36237.89689356597
1gndt13sx62216518,5628.669096739245
3gcukrec4eg454516,26323.63363022836
kmhgc4ddxcu168540,16398.018890448417
2gnfleek4c6221421,13515.453090971876
3gnda23d06s523147,4599.5868615967065
ja32u1fu0du008397,9387.296813471989
1fbne3bl1eda46070,20127.951357460024
2b8gp54l01r117477,990.0665324631773
1fadp3f28el323070,12320.19504969138
1g3nl52f32c104253,1465.497829383874
yv4992dz6a2034805,14202.037598003793
1gmdv33l15d274975,3246.3578630770808
3fahp0ha5cr314457,10909.500909240589
kndjp3a5xe7072298,13962.254007933072
jh4cu2f49cc003441,17606.733396588115
1g2zm177284122405,6727.367124905743
1hgcp2f38ba122870,12397.850013051977
1n4aa5ap0bc847988,16816.50371789986
jt2bf28kx10337262,4669.796771397616
2gtek13v961325160,7657.270797522726
1n4aa5ap7ac811245,15651.771678511172
1fadp3k25el151313,12083.564387159804
4t1bf1fk9eu774829,15502.522763564715
waugfafc2en098654,36647.9227199402
3fa6p0hr2dr238002,11452.224411237688
3fahp0ja5cr276738,9741.422410156196
2g1fa1e30d9157807,16182.222192139727
2t3bfrev4dw038526,17645.429246491203
5yfbu4ee8dp189095,11408.854889922979
yv1sz59h741164165,3854.5981214692565
1hgcr2f84da020569,18016.120613458894
1c4njcba3fd124498,17766.36929222213
1n4aa51e09c834554,9837.889771963617
1fmfu17525la35873,5936.66430639904
3vw2k7aj6dm209150,9725.351886042234
5j6rm3h7xdl004568,20866.47178163006
waufgafb8an026867,20642.012879099766
3fahp0ha0cr307061,12882.73318787559
1lnhm87a82y644589,471.8506828422469
2hkrl18022h576543,1327.7440350531251
2t1burhe2ec210372,14153.824222870837
nm0ge9f77e1151554,23294.43549624371
5xxgr4a66dg133932,17454.146617221508
5j6re48348l033196,7380.878263112438
1gnlvfed5aj252374,12715.946527274515
1ftfw1e69dfd71401,33144.647665973316
kmhdh4ae8du795370,9398.967686969045
1n4al2ap3cn408119,13153.649616737343
waugn74f37n041255,14264.689418925454
5xykt3a63eg479116,16091.720516498612
4t1bf3ek2au532729,9387.905425634115
knafx4a62e5225883,11350.472663025083
jnkcv51e63m329092,3582.1475732862673
jn1by1ar2cm394735,26628.137138677546
1j4fa59s0yp723644,6875.820389864705
1fahp3f28cl166154,8605.470594181537
